source_key,source_url,source_table,source_row,retrieved_at,Type | Combat,Picture | Combat,Role | Combat,No. of airframes | Combat,Origin | Combat,Status | Combat,Note | Combat
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,11,2026-09-15T04:05:32Z,Medium Range Loitering Munition [LM(MR)],,Loitering munition,,,Planned,"RFI issued in September 2026. Ideal specifications include:– Range: >1,000 km, Endurance: >9 hours, Length: <2.5 m, Wingspan: <3 m, Sensors: Modular (with EO/IR seeker for ISR and targeting). Features: autonomous navigation (GNSS-denied), canister-launched, up to 10 munitions simultaneously managed by mission control unit, control hand-off between ship and land stations."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,12,2026-09-15T04:05:32Z,Patrol / Utility,Patrol / Utility,Patrol / Utility,Patrol / Utility,Patrol / Utility,Patrol / Utility,Patrol / Utility
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,13,2026-09-15T04:05:32Z,Boeing P-8I Neptune,,"Reconnaissance, ASW, ASuW",12 in service,United States,6 approved Awaiting CCS approval,The deal was approved by the Ministry of Defence on 12 February 2025.
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,14,2026-09-15T04:05:32Z,Airbus C-295,,Anti-submarine warfare/ Maritime patrol,9,European Union India,Planned,"Medium-range maritime reconnaissance (MRMR) aircraft: They will be equipped with advanced sensors, glass cockpit, advanced surveillance radar, ELINT, optical sensors and networking features. Ministry of Defence has given clearance for procurement on 16 February 2024."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,15,2026-09-15T04:05:32Z,Dornier 228,,"Anti-submarine warfare, Maritime patrol",12[needs update],Germany India,(as of 2019) 4 in service 8 on order (upgraded variants),"These aircraft will be equipped with advanced sensors, glass cockpit, advanced surveillance radar, ELINT, optical sensors and networking features."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,16,2026-09-15T04:05:32Z,,,STOL Amphibious Aircraft,4,,Planned,"On 7 January 2026, the Navy released an RFI to lease 4 amphibious aircraft for 4 years. The document is meant to seek the types available in the market and their capabilities. India had previously looked to purchase Shinmayawa US-2 floatplanes from Japan."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,17,2026-09-15T04:05:32Z,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter,Helicopter
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,18,2026-09-15T04:05:32Z,Sikorsky MH-60R,,Multi-Role Helicopter,24,United States,22 delivered.,"The helicopters will replace the aging Sea King Mk.42/A helicopters which were retired in the 1990s. They are equipped with Mark 54 torpedoes and Hellfire air-to-surface missiles, along with precision-kill rockets. India signed a ₹15,157 crore (equivalent to ₹180 billion or US$1.9 billion in 2023) contract for the MH-60Rs in February 2020."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,19,2026-09-15T04:05:32Z,Deck Based Multi Role Helicopter,,Multi-Role Helicopter,66,India,Under development,"It is the naval variant of the IMRH. The Navy joined the programme in July 2021. As of July 2025, the configuration studies are underway."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,20,2026-09-15T04:05:32Z,Naval Multi-Role Helicopter,,Multi-Role Helicopter,123,India,Planned,"Previous tender: The first tender under Multi Role Helicopter (MRH) programme was issued in 2006. The same was cancelled and re-issued in September 2008. Sikorsky S-70B Seahawk and NHIndustries NH90 completed technical trials in 2011. The programme was delayed due to ""undue technical waivers"" complaints by NHI in 2012 and 2013 corruption allegations. The S-70B was selected in 2014. However, the deal was terminated due to overpricing and negotiation deadlock. Stopgap measure: 24 MH-60Rs were sought through the FMS route in 2018–19. The deal was signed in February 2020. The deliveries are expected to be complete by 2026-end. The NMRH is the successor to the MRH programme seeking to replace the Sea King Mk 42B/C fleet. Current status: June 2011 – an RFI for a requirement of 75 naval multi-role helicopter in the 9–12.5t class. 22 August 2017 – An RFI was issued to acquire 123 Naval Multi-Role Helicopter (NMRH), besides 111 Naval Utility Helicopters (NUH), through the Strategic Partnership model. The last date for the foreign OEMs to respond was 6 October. 33 would be dedicated to MARCOS use. The payload is expected to include 12 fully equipped troops, 400 kg equipment or 8 troops and an auto inflatable craft in a stowed configuration."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,21,2026-09-15T04:05:32Z,Naval Utility Helicopter,,Utility helicopter,51,India,Planned,"First attempt: March 2010 – the Navy decided to not induct any further HAL Dhruv choppers and seek helicopters for utility and ASW roles as well as replace Chetak fleet to meet the long-term requirements. May 2010 – An RFI was issued 56 naval light utility helicopters with a gross weight of 4,500 kg (9,900 lb) and folding rotor blades to replace the HAL Chetak fleet. 2012 – An RfP (tender) was issued to AgustaWestland, Bell Helicopter, Boeing, Eurocopter, Kamov and Sikorsky to procure 56 Naval Utility Helicopters (NUH) at a cost of $1 billion by 2016. The deadline was January 2013. Likely contenders included AS565, S-76B and AW109 Koala LUH but not Dhruv. August 2014 – Tender cancelled along with the reconnaissance & surveillance helicopter (RSH) programme. The helicopter count was increased to 100. Second attempt: 2015–16 – The Union government was expected to restart the NUH tender under the Make in India mode with foreign collaboration at a cost of over $2 billion. Reportedly, 11 Indian private sector companies including Tata Advanced Systems, Bharat Forge, Mahindra Aerospace, Reliance Defence & Aerospace and Larsen & Toubro were expected to respond with proposed joint ventures to offer Airbus AS565 MBe, Bell 429 and AgustaWestland Super Lynx 300. The Navy had a deficit of 61 shipborne helicopters. 22 August 2017 – An RFI was issued to acquire 111 Naval Utility Helicopters (NUH), besides 123 Naval Multi-Role Helicopter (NMRH), through the Strategic Partnership model. The last date for the foreign OEMs to respond was 6 October. 25 August 2018 – The Defence Acquisition Council (DAC) cleared the ₹21,738 crore (US$3.34 billion). While 16 would be imported in flyaway manner, the rest would be produced in India. The RfP would be issued in mid-2018. The weight would remain the same as the previous tender. The armament include one lightweight torpedo, 12.7 mm heavy machine guns and rocket launchers on both sides for light attack and ASW roles. The helicopter would be wheeled and have foldable rotor blades. 12 February 2019 – The RfP was published for the foreign OEMs and domestic Strategic Partners. Third attempt: 7 April 2022 – The NUH was included into the third positive indigenisation list, eliminating direct participation by any foreign vendor. The Navy had issued the broad requirement of 60 ALH-based helicopters to HAL in January 2022. A detail project report for helicopter configuration, overall cost, including performance based logistics was prepared for the Navy HQ and MoD. This resulted in the concept of Utility Helicopter-Marine. To replace HAL Chetak fleet across Navy and Coast Guard. Current status: August 2025 – the MoD released an RFI to procure 76 Naval Utility Helicopters meant for the Navy (51) and the Coast Guard (25). These will be assigned for roles like maritime SAR, CASEVAC, communication duties, and low-intensity maritime operations. Competitors – Utility Helicopter-Marine from HAL. Produced in India variant of AW169M design from Leonardo and Adani Defence & Aerospace. Procurement from US, France being reportedly considered."
navy_future_programmes,https://en.wikipedia.org/wiki/Future_of_the_Indian_Navy,17,22,2026-09-15T04:05:32Z,Boeing V-22 Osprey,,Tiltrotor military transport aircraft,,United States,Planned,Indian navy had proposed to aquire the V-22's airborne early warning and control variant to replace the short-range Kamov Ka-31.
