source_key,source_url,source_table,source_row,retrieved_at,Name | Tanks,Image | Tanks,Type | Tanks,Quantity | Tanks,Origin | Tanks,Notes | Tanks
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,12,2026-09-15T04:05:32Z,Carrier Mortar Tracked,,Mortar carrier,220,India,Status: In service. BMP-2 based mortar carrier. Developed by CVRDE and manufactured by Ordnance Factory Medak.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,13,2026-09-15T04:05:32Z,DRDO Armoured Ambulance,,Armoured ambulance,275,India,"Status: In service. BMP-2 based armoured ambulance developed by CVRDE and produced by Ordnance Factory Medak, 288 ordered."
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,14,2026-09-15T04:05:32Z,Armoured personnel carriers,Armoured personnel carriers,Armoured personnel carriers,Armoured personnel carriers,Armoured personnel carriers,Armoured personnel carriers
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,15,2026-09-15T04:05:32Z,Kalyani M4,,Infantry mobility vehicle (Heavy),126,India,Status: In Service. Additional units were ordered for the deployment along the LAC. To be equipped with Spike anti-tank guided missile and 20 mm automatic turret.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,16,2026-09-15T04:05:32Z,TATA Quick Reaction Fighting Vehicle,,Infantry mobility vehicle (Medium),36,India,Status: In service. First batch of Quick Reaction Fighting Vehicle inducted.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,17,2026-09-15T04:05:32Z,Mahindra Straton Plus,,Infantry mobility vehicle (Medium),,India,Status: In service. Used by UN Peace keeping force.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,18,2026-09-15T04:05:32Z,Casspir,,Infantry mobility vehicle (Medium),200,South Africa,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,19,2026-09-15T04:05:32Z,OFB Aditya,,Infantry mobility vehicle (Medium),1600,India,Status: In service. Based on Casspir. Manufactured at Ordnance Factory Medak and Vehicle Factory Jabalpur.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,20,2026-09-15T04:05:32Z,Mahindra Armado,,Military light utility vehicle,1300,India,Status: In Service. Also known as Armored Light Specialist Vehicle (ALSV).
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,21,2026-09-15T04:05:32Z,Mahindra Airawat,,Military light utility vehicle (Mortar carrier),50,India,Status: In Service. Also known as Vehicle Mounted Infantry Mortar System (VMIMS).
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,22,2026-09-15T04:05:32Z,Mahindra Marksman,,Military light utility vehicle,N/A,India,Status: In service. Mainly used for anti-terror operations in Kashmir region.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,23,2026-09-15T04:05:32Z,Mahindra Rakshak,,Military light utility vehicle,"1,000",India,Status: In service (Phasing out). All units will be replaced by Mahindra ALSV until 2024. Bulletproof vehicle with composite armour which offers protection against 7.62 mm bullets.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,24,2026-09-15T04:05:32Z,Renault Sherpa,,Military light utility vehicle,14,France,Status: In service.
army_equipment,https://en.wikipedia.org/wiki/List_of_equipment_of_the_Indian_Army,1,25,2026-09-15T04:05:32Z,DRDO Prahaar 510,,Armoured personnel carrier,Unknown,India,Status: In service.
