source_key,source_url,source_table,source_row,retrieved_at,Offshore Patrol Vessel (10) | Class,Offshore Patrol Vessel (10) | Image,Offshore Patrol Vessel (10) | Boat,Offshore Patrol Vessel (10) | No.,Offshore Patrol Vessel (10) | Disp. (t),Offshore Patrol Vessel (10) | Comm.,Offshore Patrol Vessel (10) | Origin,Offshore Patrol Vessel (10) | Homeport,Offshore Patrol Vessel (10) | Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,11,2026-09-15T03:49:19Z,Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19),Fast Attack Craft (19)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,12,2026-09-15T03:49:19Z,Class,Image,Boat,No.,Disp. (t),Comm.,Origin,Homeport,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,13,2026-09-15T03:49:19Z,Car Nicobar class,,INS Car Nicobar,T69,293,2009,India,Chennai,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,14,2026-09-15T03:49:19Z,Car Nicobar class,,INS Chetlat,T70,293,2009,India,Chennai,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,15,2026-09-15T03:49:19Z,Car Nicobar class,,INS Cora Divh,T71,293,2009,India,Sri Vijaya Puram,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,16,2026-09-15T03:49:19Z,Car Nicobar class,,INS Cheriyam,T72,293,2009,India,Sri Vijaya Puram,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,17,2026-09-15T03:49:19Z,Car Nicobar class,,INS Cankaraso,T73,293,2010,India,Goa,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,18,2026-09-15T03:49:19Z,Car Nicobar class,,INS Kondul,T74,293,2010,India,Goa,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,19,2026-09-15T03:49:19Z,Car Nicobar class,,INS Kalpeni,T75,293,2010,India,Kochi,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,20,2026-09-15T03:49:19Z,Car Nicobar class,,INS Kabra,T76,293,2011,India,Kochi,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,21,2026-09-15T03:49:19Z,Car Nicobar class,,INS Koswari,T77,293,2011,India,Karwar,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,22,2026-09-15T03:49:19Z,Car Nicobar class,,INS Karuva,T78,293,2011,India,Mumbai,Follow on of the Bangaram class vessels.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,23,2026-09-15T03:49:19Z,Car Nicobar class,,INS Tihayu,T93,315,2016,India,Karwar,Follow on of the Bangaram class vessels; the first water jet-propelled ships in the IN.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,24,2026-09-15T03:49:19Z,Car Nicobar class,,INS Tillanchang,T92,315,2017,India,Visakhapatnam,Follow on of the Bangaram class vessels; the first water jet-propelled ships in the IN.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,25,2026-09-15T03:49:19Z,Car Nicobar class,,INS Tarasa,T94,315,2017,India,Mumbai,Follow on of the Bangaram class vessels; the first water jet-propelled ships in the IN.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,26,2026-09-15T03:49:19Z,Bangaram class,,INS Bangaram,T65,260,2006,India,Sri Vijaya Puram,Used for SAR and naval interdiction.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,27,2026-09-15T03:49:19Z,Bangaram class,,INS Bitra,T66,260,2006,India,Sri Vijaya Puram,Used for SAR and naval interdiction.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,28,2026-09-15T03:49:19Z,Bangaram class,,INS Batti Malv,T67,260,2006,India,Sri Vijaya Puram,Used for SAR and naval interdiction.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,29,2026-09-15T03:49:19Z,Bangaram class,,INS Baratang,T68,260,2006,India,Sri Vijaya Puram,Used for SAR and naval interdiction.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,30,2026-09-15T03:49:19Z,Trinkat class,,INS Trinkat,T62,260,2000,India,Visakhapatnam,Used for SAR.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,31,2026-09-15T03:49:19Z,Trinkat class,,INS Tarmugli,T66,260,2001,India,Visakhapatnam,Used for SAR.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,32,2026-09-15T03:49:19Z,Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117),Patrol Boat (117)
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,33,2026-09-15T03:49:19Z,Class,Image,Boat,No.,Disp. (t),Comm.,Origin,Homeport,Note
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,34,2026-09-15T03:49:19Z,Immediate Support Vessel,,23 in service,"81st ISV Squadron: T-11, T-12, T-13, T-14, T-15, T-16, T-17",60,2014,India,Mumbai,Used by ONGC to protect off-shore establishments.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,35,2026-09-15T03:49:19Z,Immediate Support Vessel,,23 in service,"82nd ISV Squadron: T-26, T-27, T-28, T-44, T-45, T-46, T-47, T-48, T-49, T-50",60,2015,India,Mumbai,Used by ONGC to protect off-shore establishments.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,36,2026-09-15T03:49:19Z,Immediate Support Vessel,,23 in service,"83rd ISV Squadron: T-35, T-36, T-37",60,2014,India,Visakhapatnam,Used by ONGC to protect off-shore establishments.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,37,2026-09-15T03:49:19Z,Immediate Support Vessel,,23 in service,"84th ISV Squadron: T-38, T-39, T-40",60,2015,India,Visakhapatnam,Used by ONGC to protect off-shore establishments.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,38,2026-09-15T03:49:19Z,Super Dvora Mk II,,2 in service,FAC T-83,60,1998,Israel,Mumbai,Used for coastal security operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,39,2026-09-15T03:49:19Z,Super Dvora Mk II,,2 in service,FAC T-84,60,1998,Israel,Mumbai,Used for coastal security operations.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,40,2026-09-15T03:49:19Z,Solas Marine FIC,,76 in service,—,40,2013–2017,Sri Lanka,Distributed across all Naval commands,Operated by Sagar Prahari Bal.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,41,2026-09-15T03:49:19Z,Couach Type 1300 FIC,—,15 in service,—,12,2010–2012,France,,Used for harbor patrol.
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,42,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,43,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,44,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,45,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,46,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,47,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,48,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,49,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,50,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,51,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,52,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
navy_active_ships,https://en.wikipedia.org/wiki/List_of_active_Indian_Navy_ships,8,53,2026-09-15T03:49:19Z,Used for harbor patrol.,,,,,,,,
