source_key,source_url,source_table,source_row,retrieved_at,Name | Uniforms and Gears,Image | Uniforms and Gears,Type | Uniforms and Gears,Quantity | Uniforms and Gears,Origin Country | Uniforms and Gears,Notes | Uniforms and Gears
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,11,2026-09-15T03:49:19Z,Advanced Ballistics for High Energy Defeat (ABHED),,Ballistic vest,,India,Status: Developed; to be ordered. Developed by DRDO and IIT Delhi. Provides 360° protection weighing 8.2 kg to 9.5 kg.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,12,2026-09-15T03:49:19Z,CBRN Suit,,"Chemical, biological, nuclear radiation suit",,India,"Status: In Service, protects from chemical, biological, nuclear radiation."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,13,2026-09-15T03:49:19Z,Bomb Blast Protection Suit,,Bomb suit,,India,"In Service, manufactured by DRDO"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,14,2026-09-15T03:49:19Z,Head Protective Gear,Head Protective Gear,Head Protective Gear,Head Protective Gear,Head Protective Gear,Head Protective Gear
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,15,2026-09-15T03:49:19Z,Total,,Ballistic helmet,"~480,000",,"As per a 2020 report, 4.8 lakh frontline troops are equipped with ballistic helmets which is about 40% of the requirement. The service had released an RFI to meet another 50% of the requirement in 2020. Approximately 10% of the procurement will be reserved for future helmet upgrades."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,16,2026-09-15T03:49:19Z,Patka (Model- 1) (Model- 2) (Model- 3),,Combat helmet,,India,"Status: In service (to be phased out), used extensively for counterinsurgency by the Indian Army. Variants mentioned provide different areas of protection to the head and are composed of steel and kevlar. Weighs about 2.5 kg. Can provide protection against AK-47 rounds."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,17,2026-09-15T03:49:19Z,Model 1974 Ballistic Helmet,,Combat helmet,">1,000,000",India,Status: Standard issue helmet. Equipped with fibre-glass body and nylon suspender. Can withstand 9mm carbine shot. Currently being replaced by MKU Advanced Combat Helmets and EXFIL High Cut Helmets.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,18,2026-09-15T03:49:19Z,MKU Mukut,,Combat helmet,"1,58,279(158,279)",India,"Status: In service. It can withstand a 9mm shot from 10 m distance. An order for 1,58,279 (158,279) combat helmets was placed in December 2016 through capital route at the cost of ₹170 crore (US$25.3 million). The first batch of 7,500 helmets was delivered in June 2018. The Indian Navy also received 13,981 helmets. They will be used for counterterrorism along the Line of Control, counterinsurgency in the Northeast India and UN peacekeeping missions. Includes 50,000 with integrated communication for commanders."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,19,2026-09-15T03:49:19Z,SMPP Ballistic Helmet,,Combat helmet,,India,"Status: On order. 80,000 ordered by August 2024. 3,600 units will be allocated for counterterrorism units. An RFI for one lakh units was issued in 2020. The acquisition was cleared in December 2022. They are meant to protect from 7.62×39mm mild steel core rounds at a 10 m range and high-speed blast fragmentation. additional order for 11,700 units as part of a ₹300 crore (US$31 million) deal placed in July 2025."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,20,2026-09-15T03:49:19Z,TATA Advanced Combat Helmet,,Combat helmet,10000,India,Status: In service. Designed and produced by Tata Advanced Materials Limited and inducted in 2010.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,21,2026-09-15T03:49:19Z,OR-201,,Combat helmet,,Israel,"Status: In service. Used by Para SF, Paratroopers since 2008."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,22,2026-09-15T03:49:19Z,Exfil High Cut Ballistic Helmet,,Combat helmet,,United States,Status: In service. used by Para SF
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,1,23,2026-09-15T03:49:19Z,Galvion Viper P2,,Combat helmet,,United States,Status: In service.
