source_key,source_url,source_table,source_row,retrieved_at,Name | Handguns,Weapon | Handguns,Type | Handguns,Caliber | Handguns,Origin | Handguns,Notes | Handguns
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,13,2026-09-15T04:05:32Z,Brügger & Thomet MP9,,Submachine gun,9×19mm,Switzerland,Status: In Service. Small number of MP9s in service.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,14,2026-09-15T04:05:32Z,SAF Carbine 2A1,,Submachine gun,9×19mm,India United Kingdom,"Status: To be replaced, all the remaining SAF Carbine to be replaced by indigenously built close quarter MSMC"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,15,2026-09-15T04:05:32Z,ASMI,,Submachine gun,9×19mm,India,Status: In Service. 550 inducted by Para (SF) of the Army.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,16,2026-09-15T04:05:32Z,Taurus T9,,Submachine gun,9×19mm,India Brazil,"Status: On order, 550 units ordered."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,17,2026-09-15T04:05:32Z,DRDO Close Quarter Battle carbine,,Carbine,5.56×45mm NATO5.56×45mm INSAS,India,"Status: On order. Kalyani Strategic Systems Limited (KSSL) has been selected as the L1 bidder for procurement project of over 4.25 lakh (425,000) carbines. KSSL is the production partner of the DRDO-developed CQB Carbine. A contract worth ₹1,700 crore (US$180 million) for 255,128 units was signed on 30 December 2025."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,18,2026-09-15T04:05:32Z,"IWI Galil ACE ""Adani Jeet""",,Carbine,5.56×45mm NATO,Israel India,"Status: On order. PLR Systems has been selected as the L2 bidder for procurement project of over 4.25 lakh carbines. Jeet is a derivative of IWI Galil ACE design. A contract worth ₹1,100 crore (US$110 million) for 170,085 units was signed on 30 December 2025."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,19,2026-09-15T04:05:32Z,Assault rifles,Assault rifles,Assault rifles,Assault rifles,Assault rifles,Assault rifles
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,20,2026-09-15T04:05:32Z,1B1 INSAS,,Assault rifle,5.56×45mm,India,"Status: In service (Being phased out), Standard assault rifle of the Indian Army. To be replaced by AK-203 and SIG 716i About 200,000 rifle will be upgraded by Indian army."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,21,2026-09-15T04:05:32Z,AK-203,,Assault Rifle,7.62×39mm,India Russia,"Status: In service. In total, 53,000 guns delivered by Indo-Russia Rifles and are reported to be in service. 601,427 rifles have been ordered. This will be the standard service rifle of Indian Army, replacing INSAS"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,22,2026-09-15T04:05:32Z,SIG 716i,,Battle rifle,7.62×51mm,United States,"Status: In service. 66,400 units of SIG 716i in service. Additional 73,000 on order. To be equipped with night sight from MKU."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,23,2026-09-15T04:05:32Z,"IMI/IWI Tavor TAR X95 ""Zittara"" ""Abhay""",,Bullpup assault rifle,5.56×45mm,India Israel,"Status: In Service, manufactured locally by PLR Systems."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,24,2026-09-15T04:05:32Z,"IMI/IWI Tavor TAR-21 ""Arka""",,Bullpup assault rifle,5.56×45mm,India Israel,"Status: In service, Standard Special Forces assault rifle like Para SF, Garud and MARCOS."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,25,2026-09-15T04:05:32Z,M4 carbine,,Assault carbine,5.56×45mm,United States,"Status: In service, used by special forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,26,2026-09-15T04:05:32Z,AR-M1,,Assault rifle,7.62×39mm,Bulgaria,"Status: Being Phased Out,[citation needed] used by the Army, to be replaced by AK-203. Some are modified locally by Israel's FAB Defense."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,27,2026-09-15T04:05:32Z,AKM,,Assault rifle,7.62×39mm,Soviet Union,"Status: Being Phased Out,[citation needed] used by the Army, to be replaced by AK203. Includes variants modified locally by SSS Defence India and Israel's FAB Defense."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,28,2026-09-15T04:05:32Z,MPi-KMS-72,,Assault rifle,7.62×39mm,East Germany,"Status: Being Phased Out, to be replaced by AK203.[citation needed]"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,29,2026-09-15T04:05:32Z,Pistol Mitralieră model 1963/1965,,Assault rifle,7.62×39mm,Romania,Status: To be replaced by AK203.[citation needed]
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,30,2026-09-15T04:05:32Z,AK-63,,Assault rifle,7.62×39mm,Hungary,Status: To be replaced by AK203.[citation needed] In service folding stock variant is used.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,31,2026-09-15T04:05:32Z,Type 56 assault rifle,,Assault rifle,7.62×39mm,China,Status: Thousands of captured Type 56s by Indian police/military/paramilitary forces. Some were used by Indian army as a stopgap measure.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,32,2026-09-15T04:05:32Z,Vz. 58,,Assault rifle,7.62×39mm,Czechoslovakia,"Status: Being phased out,[citation needed] both standard and folding stock variants in use."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,33,2026-09-15T04:05:32Z,T91 assault rifle,,Assault Rifle,5.56×45mm,Taiwan,"Status: In service, 400 units were bought."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,34,2026-09-15T04:05:32Z,Sniper rifles,Sniper rifles,Sniper rifles,Sniper rifles,Sniper rifles,Sniper rifles
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,35,2026-09-15T04:05:32Z,Dragunov SVD,,"Designated marksman rifle, Sniper rifle",7.62×54mmR,Soviet Union,"Status: In service, Standard designated marksman rifle. Modified locally by Israel's FAB Defense. Around 6,000 units active."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,36,2026-09-15T04:05:32Z,"IMI Galil 7.62 Sniper ""Archook""",,"Designated marksman rifle, Sniper rifle",7.62×51mm,India Israel,Status: In service used by Para SF snipers. 200 in service.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,37,2026-09-15T04:05:32Z,Heckler & Koch PSG1,,Sniper rifle,7.62×51mm,Germany,"Status: In service, Standard semi-automatic sniper rifle."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,38,2026-09-15T04:05:32Z,Mauser SP66,,Sniper rifle,7.62×51mm,Germany,"Status: In service, Standard bolt-action sniper rifle."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,39,2026-09-15T04:05:32Z,SIG Sauer SSG 3000,,Sniper rifle,7.62×51mm,Germany,"Status: In service, Standard bolt-action sniper rifle."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,40,2026-09-15T04:05:32Z,Sako TRG 42,,Sniper rifle,.338 Lapua Magnum,Finland,"Status: In service, used by special forces and soldiers deployed along the Line of Control (LoC). 1,152 units with 8,45,000 (845,000) rounds bought in three tranches."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,41,2026-09-15T04:05:32Z,Beretta Scorpio TGT,,Sniper rifle,.338 Lapua Magnum,Italy,"Status: In service, used in small numbers."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,42,2026-09-15T04:05:32Z,Anti-material rifles,Anti-material rifles,Anti-material rifles,Anti-material rifles,Anti-material rifles,Anti-material rifles
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,43,2026-09-15T04:05:32Z,Barrett M82,,Anti-material rifle,12.7×99mm .416 Barrett,United States,"Status: In service, used by special forces"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,44,2026-09-15T04:05:32Z,Barrett M95,,Anti-material rifle,12.7×99mm,United States,"Status: In service, used in small numbers for anti-sniping role in Northern Command."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,45,2026-09-15T04:05:32Z,OSV-96,,Anti-material rifle,12.7×108mm,Russia,Status: In service
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,46,2026-09-15T04:05:32Z,Denel NTW-20,,Anti-material rifle,14.5×114mm 20x82mm,South Africa,Status: In service (400 units)
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,47,2026-09-15T04:05:32Z,Vidhwansak,,Anti-material rifle,12.7×108mm 14.5×114mm 20x82mm,India,Status: In service
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,48,2026-09-15T04:05:32Z,Machine guns,Machine guns,Machine guns,Machine guns,Machine guns,Machine guns
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,49,2026-09-15T04:05:32Z,FN Minimi,,Light machine gun,5.56×45mm,Belgium,"Status: In service, used by special forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,50,2026-09-15T04:05:32Z,INSAS LMG,,Light machine gun,5.56×45mm,India,"Status: In service, to be phased out in favour of Negev NG7."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,51,2026-09-15T04:05:32Z,"IMI Negev NG5 ""Arun""",,Light machine gun,5.56×45mm,India Israel,"Status: In service, Standard Squad Automatic Weapon (SAW) of special forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,52,2026-09-15T04:05:32Z,"IWI Negev NG7 ""Prahar""",,Light machine gun,7.62×51mm,India Israel,"Status: In Service, 18,479 in service. 39,000 more on order. Produced by PLR Systems. The MEPRO X6 telescopic sight from Meprolight was selected as the dedicated daytime optic and will be delivered by Bharat Electronics."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,53,2026-09-15T04:05:32Z,MG 2A1MG 5AMG 6A,,Medium machine gun,7.62×51mm,India Belgium,Status: In service. Domestically license produced by Ordnance Factory Board. Standard medium machine gun for infantry battalions as MG 2A1. Also in service as the MG 5A (Co-axial) and MG 6A (Commander's gun) with some armoured vehicles.
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,54,2026-09-15T04:05:32Z,Mk 48 machine gun,,Medium machine gun,7.62×51mm,United States Belgium,"Status: In service, with special forces."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,55,2026-09-15T04:05:32Z,PK machine gun,,Medium machine gun,7.62×54mmR,India Soviet Union,"Status: In Service, Used by Front line troops as well as Co-axial weapon on Tanks and APC. Locally manufactured at OFB Tiruchirapalli."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,56,2026-09-15T04:05:32Z,Type 80 machine gun,,Medium machine gun,7.62×54mmR,China,"Status: In Service, Captured from various insurgents in the Kashmir valley and used by Indian troops."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,57,2026-09-15T04:05:32Z,NSV machine gun,,Heavy machine gun,12.7×108mm,India Soviet Union,"Status: In Service, Used by Front line troops. Manufactured locally in Ordnance factory Tiruchirapalli"
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,58,2026-09-15T04:05:32Z,M2 Browning,,Heavy machine gun,12.7×99mm,India United States,"Status: In service, M2HB variant in service."
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,59,2026-09-15T04:05:32Z,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials,Possible future procurements or currently under trials
army_infantry_equipment,https://en.wikipedia.org/wiki/List_of_infantry_equipment_of_the_Indian_Army,3,60,2026-09-15T04:05:32Z,Joint Venture Protective Carbine,,Carbine,5.56×30mm MINSAS,India,Status: Trials completed. Ready for induction.
